"Idanha-a-Nova","Portugal","It is a UNESCO Creative City of Music."
"Lisbon","Portugal","It is older than Rome, Paris, and even London."
"Porto","Portugal","The Livraria Lello bookstore inspired the library in Harry Potter."
"Coimbra","Portugal","Its university library houses a colony of bats to protect books from insects."
"Viseu","Portugal","It has been voted several times as the city with the best quality of life in Portugal."
"Sintra","Portugal","Lord Byron once described it as a 'Glorious Eden'."
"Algarve","Portugal","It features a chapel built entirely of human bones (Capela dos Ossos in Faro)."
"Madrid","Spain","Home to Sobrino de Botín, the oldest restaurant in the world."
"Barcelona","Spain","The Sagrada Família has been under construction for over 140 years."
"Ibiza","Spain","The island's soil is orange due to the high iron content in pine needles."
"Valencia","Spain","It is the birthplace of the world-famous dish, Paella."
"Seville","Spain","It is home to the largest Gothic cathedral in the world."
"Madrid","Spain","It has the highest number of cloudless days of any European capital."
"Paris","France","The Eiffel Tower was originally intended to be a temporary installation."
"Bordeaux","France","It is the largest urban UNESCO World Heritage site."
"Lyon","France","It is known as the gastronomic capital of the world."
"Nice","France","The city's famous 'Salade Niçoise' was originally a dish for the poor."
"Monaco","Monaco","It is smaller than New York City's Central Park."
"Rome","Italy","It has a museum entirely dedicated to pasta."
"Milan","Italy","The Duomo di Milano took nearly six centuries to complete."
"Tirana","Albania","The city is famous for its vibrant, multi-colored buildings."
"Durres","Albania","Home to the largest Roman amphitheater in the Balkans."
"Vlore","Albania","This is where the Albanian Declaration of Independence was proclaimed in 1912."
"Shkoder","Albania","One of the oldest and most historic towns in the Balkans."
"Elbasan","Albania","Known for the 'Summer Day' festival, a major pagan-origin celebration."
"Berat","Albania","Known as the 'City of a Thousand Windows'."
"Gjirokaster","Albania","Known as the 'Stone City' for its unique Ottoman architecture."
"Andorra la Vella","Andorra","The highest capital city in Europe."
"Escaldes-Engordany","Andorra","Home to Caldea, the largest thermal spa complex in Europe."
"Encamp","Andorra","Features the Funicamp, one of the longest cable cars in the world."
"La Massana","Andorra","Home to Coma Pedrosa, the highest mountain in Andorra."
"Ordino","Andorra","Considered the cultural center of Andorra."
"Vienna","Austria","Known as the 'City of Dreams' because it was home to Sigmund Freud."
"Salzburg","Austria","The birthplace of Wolfgang Amadeus Mozart."
"Innsbruck","Austria","It has hosted the Winter Olympics twice."
"Graz","Austria","Arnold Schwarzenegger was born in a village just outside this city."
